Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Balança comercial,Exportações,2001-11-22,2005,76.24,77.18,4.25,69.9,82.7,,0
Balança comercial,Exportações,2001-11-23,2001,58.45,58.48,0.85,55.4,62.0,,0
Balança comercial,Exportações,2001-11-23,2002,61.21,61.1,1.88,56.6,66.0,,0
Balança comercial,Exportações,2001-11-23,2003,66.4,66.8,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-23,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-23,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-26,2001,58.47,58.5,0.84,55.4,62.0,,0
Balança comercial,Exportações,2001-11-26,2002,61.23,61.1,1.8900000000000001,56.6,66.0,,0
Balança comercial,Exportações,2001-11-26,2003,66.4,66.8,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-26,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-26,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-27,2001,58.47,58.5,0.8200000000000001,55.4,62.0,,0
Balança comercial,Exportações,2001-11-27,2002,61.26,61.05,1.92,56.6,66.0,,0
Balança comercial,Exportações,2001-11-27,2003,66.4,66.8,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-27,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-27,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-28,2001,58.45,58.48,0.78,55.4,62.0,,0
Balança comercial,Exportações,2001-11-28,2002,61.15,61.0,2.03,55.02,66.0,,0
Balança comercial,Exportações,2001-11-28,2003,66.33,66.34,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-28,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-28,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-29,2001,58.46,58.48,0.79,55.4,62.0,,0
Balança comercial,Exportações,2001-11-29,2002,61.14,61.0,2.08,55.02,66.0,,0
Balança comercial,Exportações,2001-11-29,2003,66.54,66.8,2.8,62.0,71.7,,0
Balança comercial,Exportações,2001-11-29,2004,71.25,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-11-29,2005,75.54,75.0,4.49,68.3,81.83,,0
Balança comercial,Exportações,2001-11-30,2001,58.45,58.41,0.78,55.4,62.0,,0
Balança comercial,Exportações,2001-11-30,2002,61.16,61.0,2.07,55.02,66.0,,0
Balança comercial,Exportações,2001-11-30,2003,66.52,66.8,2.75,62.0,71.7,,0
Balança comercial,Exportações,2001-11-30,2004,71.26,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-11-30,2005,75.43,74.0,4.34,68.3,81.83,,0
Balança comercial,Exportações,2001-12-03,2001,58.44,58.4,0.78,55.4,62.0,,0
Balança comercial,Exportações,2001-12-03,2002,61.16,61.0,2.07,55.02,66.0,,0
Balança comercial,Exportações,2001-12-03,2003,66.52,66.8,2.75,62.0,71.7,,0
Balança comercial,Exportações,2001-12-03,2004,71.26,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-12-03,2005,75.43,74.0,4.34,68.3,81.83,,0
Balança comercial,Exportações,2001-12-04,2001,58.48,58.41,0.73,55.4,62.0,,0
Balança comercial,Exportações,2001-12-04,2002,61.17,61.0,2.05,55.02,66.0,,0
Balança comercial,Exportações,2001-12-04,2003,66.51,66.8,2.73,62.0,71.3,,0
Balança comercial,Exportações,2001-12-04,2004,71.26,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-12-04,2005,75.43,74.0,4.34,68.3,81.83,,0
Balança comercial,Exportações,2001-12-05,2001,58.47,58.39,0.72,55.4,62.0,,0
Balança comercial,Exportações,2001-12-05,2002,61.1,61.0,2.03,55.02,66.0,,0
Balança comercial,Exportações,2001-12-05,2003,66.39,66.34,2.65,62.0,71.3,,0
Balança comercial,Exportações,2001-12-05,2004,71.28,72.15,3.7800000000000002,65.0,78.2,,0
Balança comercial,Exportações,2001-12-05,2005,75.46,74.0,4.31,68.3,81.83,,0
Balança comercial,Exportações,2001-12-06,2001,58.45,58.39,0.76,55.4,62.0,,0
Balança comercial,Exportações,2001-12-06,2002,61.13,61.0,2.01,55.02,66.0,,0
Balança comercial,Exportações,2001-12-06,2003,66.27,66.0,2.71,62.0,71.3,,0
Balança comercial,Exportações,2001-12-06,2004,71.27,72.05,3.7800000000000002,65.0,78.2,,0
Balança comercial,Exportações,2001-12-06,2005,75.75,74.0,4.65,68.3,82.7,,0
Balança comercial,Exportações,2001-12-07,2001,58.5,58.41,0.64,56.4,62.0,,0
Balança comercial,Exportações,2001-12-07,2002,61.14,61.0,1.97,55.02,66.0,,0
Balança comercial,Exportações,2001-12-07,2003,66.35,66.17,2.7199999999999998,62.0,71.3,,0
Balança comercial,Exportações,2001-12-07,2004,71.3,72.0,3.7,65.0,78.2,,0
Balança comercial,Exportações,2001-12-07,2005,75.28,74.0,4.88,68.0,82.7,,0
Balança comercial,Exportações,2001-12-10,2001,58.48,58.4,0.63,56.4,62.0,,0
Balança comercial,Exportações,2001-12-10,2002,61.11,61.0,1.9300000000000002,55.02,66.0,,0
Balança comercial,Exportações,2001-12-10,2003,66.29,66.17,2.67,62.0,71.3,,0
Balança comercial,Exportações,2001-12-10,2004,71.22,72.0,3.63,65.0,78.2,,0
Balança comercial,Exportações,2001-12-10,2005,75.28,74.0,4.88,68.0,82.7,,0
Balança comercial,Exportações,2001-12-11,2001,58.5,58.43,0.62,56.4,62.0,,0
Balança comercial,Exportações,2001-12-11,2002,61.16,61.0,1.94,55.02,66.0,,0
Balança comercial,Exportações,2001-12-11,2003,66.44,66.34,2.77,62.0,71.5,,0
Balança comercial,Exportações,2001-12-11,2004,71.58,72.05,4.0,65.0,80.5,,0
Balança comercial,Exportações,2001-12-11,2005,76.19,74.0,6.04,68.0,90.8,,0
Balança comercial,Exportações,2001-12-12,2001,58.5,58.41,0.59,56.4,62.0,,0
Balança comercial,Exportações,2001-12-12,2002,61.11,61.0,1.98,55.02,66.0,,0
Balança comercial,Exportações,2001-12-12,2003,66.35,66.34,2.77,62.0,71.5,,0
Balança comercial,Exportações,2001-12-12,2004,71.6,72.0,3.92,65.0,80.5,,0
Balança comercial,Exportações,2001-12-12,2005,76.41,75.0,5.93,68.0,90.8,,0
Balança comercial,Exportações,2001-12-13,2001,58.5,58.41,0.59,56.4,62.0,,0
Balança comercial,Exportações,2001-12-13,2002,61.11,61.0,1.98,55.02,66.0,,0
Balança comercial,Exportações,2001-12-13,2003,66.35,66.34,2.77,62.0,71.5,,0
Balança comercial,Exportações,2001-12-13,2004,71.6,72.0,3.92,65.0,80.5,,0
Balança comercial,Exportações,2001-12-13,2005,76.41,75.0,5.93,68.0,90.8,,0
Balança comercial,Exportações,2001-12-14,2001,58.4,58.33,0.54,54.85,59.5,,0
Balança comercial,Exportações,2001-12-14,2002,61.02,61.0,1.92,55.02,66.0,,0
Balança comercial,Exportações,2001-12-14,2003,66.32,66.17,2.86,62.0,71.9,,0
